numero,titulo,resumen,url,fecha,seccion
1,Presidente Jerí participó en la ceremonia de afirmado del pabellón nacional en buques de la Marina,"El presidente de la república, José Jerí, participa en la ceremonia de afirmado del pabellón nacional en los buques B.A.P. Río Huarmey y B.A.P. Río Nepeña.",https://elperuano.pe/noticia/287683-presidente-jeri-participo-en-la-ceremonia-de-afirmado-del-pabellon-nacional-en-buques-de-la-marina,22/01/2026,Política
2,MEF: Perú mantiene sólida posición macroeconómica con inflación y riesgo país bajos,"La ministra de Economía y Finanzas, Denisse Miralles, destacó hoy que el Perú mantiene una sólida posición macroeconómica sustentada en una inflación promedio anual de 4.4%, una de las más bajas de la",https://elperuano.pe/noticia/287694--mef-peru-mantiene-solida-posicion-macroeconomica-con-inflacion-y-riesgo-pais-bajos,22/01/2026,Economía
3,FITUR 2026: Perú y República Dominicana sellan alianza para potenciar un turismo competitivo,"En el marco de la Feria Internacional de Turismo – FITUR 2026, que se realiza en Madrid (España), el Perú dio un nuevo paso en su estrategia de fortalecimiento del sector turismo al suscribir un Memor",https://elperuano.pe/noticia/287695-fitur-2026-peru-y-republica-dominicana-sellan-alianza-para-potenciar-un-turismo-competitivo,22/01/2026,Economía
4,Lima registra ola de calor diurno con más de 30 °C,"El calor se ha instalado en Lima y no da tregua. Varios distritos de la capital han registraron en los últimos días temperaturas inusualmente altas para esta época del año, una señal clara de que la c",https://elperuano.pe/noticia/287658-lima-registra-ola-de-calor-diurno-con-mas-de-30-c,22/01/2026,País
5,SUNAT: evita multas participando en el curso virtual obligatorio para microempresas,"La Superintendencia Nacional de Aduanas y de Administración Tributaria (SUNAT) aprobó la Resolución de Superintendencia N.° 000010-2026/SUNAT, mediante la cual se establecen las reglas para el dictado",https://elperuano.pe/noticia/287647-sunat-evita-multas-participando-en-el-curso-virtual-obligatorio-para-microempresas,22/01/2026,Derecho
6,"Alianza Lima separa indefinidamente a Zambrano, Trauco y Peña tras denuncia de violencia sexual","Alianza Lima este anunció jueves que inició un proceso disciplinario a Carlos Zambrano, Miguel Trauco y Sergio Peña y confirmó la separación indefinida de cada uno de ellos. Además, la institución ínt",https://elperuano.pe/noticia/287693-alianza-lima-separa-indefinidamente-a-zambrano-trauco-y-pena-tras-denuncia-de-violencia-sexual,22/01/2026,Deportes
7,Dos nuevas patrulleras incorpora la Marina para luchar contra las actividades ilícitas en el mar,"La Marina de Guerra del Perú incorporó las patrulleras marítimas B.A.P. Río Huarmey y B.A.P. Río Nepeña, destinadas a velar por la seguridad de la vida humana en el mar, la protección del medio ambien",https://elperuano.pe/noticia/287700-dos-nuevas-patrulleras-incorpora-la-marina-para-luchar-contra-las-actividades-ilicitas-en-el-mar,22/01/2026,País
8,Mimp destaca labor de la Escuela PNP San Bartolo en la formación de las futuras suboficiales,"La ministra de la Mujer y Poblaciones Vulnerables, Sandra Gutiérrez Cuba, participó en la ceremonia por el 34.° aniversario de la Escuela de Educación Superior Técnico Profesional PNP San Bartolo, ins",https://elperuano.pe/noticia/287699-mimp-destaca-labor-de-la-escuela-pnp-san-bartolo-en-la-formacion-de-las-futuras-suboficiales,22/01/2026,País
9,IGP anuncia el fin de la tormenta geomagnética que impactó la Tierra,"El Instituto Geofísico del Perú (IGP), informó que la tormenta geomagnética de clase G4 que culminó este jueves a la 1:00 a.m., tras varios días de intensa actividad geomagnética registrada a nivel gl",https://elperuano.pe/noticia/287697-igp-anuncia-el-fin-de-la-tormenta-geomagnetica-que-impacto-la-tierra,22/01/2026,País
10,Presidente Jerí lidera presentación de cifras sobre reducción de homicidios y sicariato,"El presidente de la república, José Jerí Oré, lidera la sesión informativa del Comité Estadístico Interinstitucional de la Criminalidad, donde se presentarán las cifras sobre reducción de homicidios y",https://elperuano.pe/noticia/287696-presidente-jeri-lidera-presentacion-de-cifras-sobre-reduccion-de-homicidios-y-sicariato,22/01/2026,Política
11,Midis fortalecerá capacidades de más de 108 mil pobladores con los Tambos Productivos,"El Ministerio de Desarrollo e Inclusión Social (Midis), a través del programa PAIS, impulsará la iniciativa Tambos Productivos para llevar oportunidades a las zonas más alejadas del país. Gracias a es",https://elperuano.pe/noticia/287692-midis-fortalecera-capacidades-de-mas-de-108-mil-pobladores-con-los-tambos-productivos,22/01/2026,País
12,Presidencia de la República saluda a Pucusana por la conmemoración de sus 83 años de creación,La Presidencia de la República saludó hoy al distrito costero de Pucusana ante la celebración de sus 83 años de creación.,https://elperuano.pe/noticia/287691-presidencia-de-la-republica-saluda-a-pucusana-por-la-conmemoracion-de-sus-83-anos-de-creacion,22/01/2026,Política
